Neighbourhood,Population,Shape__Area,Shape__Length
South Parkdale,21849,2286974.07055664,10802.8321601963
South Riverdale,27876,10964573.8276367,43080.7247013893
St.Andrew-Windfields,17812,7299579.75805664,13025.9974564362
Taylor-Massey,15683,1062970.03637695,5940.70005041958
Humber Summit,12416,7966905.39770508,12608.573117878
Humbermede,15545,4421664.9753418,12445.7221490197
Centennial Scarborough,13362,5468486.34375,12038.4811854149
Church-Yonge Corridor,31340,1364546.65332031,6347.04702949077
Clairlea-Birchmount,26984,7397299.89990234,16485.3964180826
Cliffcrest,15935,7191379.69873047,19946.0231984033
Flemingdon Park,21933,2473306.36791992,8487.7521109866
Corso Italia-Davenport,14133,1884658.14306641,6077.8248068784
Ionview,13641,1952873.82202148,6356.15015892723
Junction Area,14366,2631832.26025391,7789.28189620553
Broadview North,11499,1745969.19799805,7178.12381805323
Princess-Rosethorn,11051,5171203.32421875,11051.8775939326
North Riverdale,11916,1786040.69946289,5475.63576931023
Etobicoke West Mall,11848,1796641.64916992,6476.05860513445
Forest Hill North,12806,1569106.05249023,5693.11591083407
Glenfield-Jane Heights,30491,5149746.93359375,11437.3631498383
Greenwood-Coxwell,14417,1675174.69384766,6843.00221037826
Guildwood,9917,3804331.10473633,9830.06441125751
Trinity-Bellwoods,16556,1729723.58203125,5343.12142814648
Victoria Village,17510,4755219.24365234,11800.3417010795
Waterfront Communities-The Island,65913,13416295.0332031,18366.6083496568
West Hill,27392,9625439.59741211,14976.5717738858
West Humber-Clairville,33312,30145323.9472656,27924.1969740584
Westminster-Branson,26274,3667761.80371094,11495.3651810401
Kennedy Park,17123,3580725.18847656,7606.6315352743
Kingsview Village-The Westway,22000,5063371.16918945,10449.4059504016
Bayview Woods-Steeles,13154,4088934.05639648,8253.15450233536
Clanton Park,16472,4142429.41210938,10147.161662881
Keelesdale-Eglinton West,11058,1750773.8425293,5670.47208839607
O'Connor-Parkview,18675,4876766.98486328,10927.1782416123
Old East York,9233,2349933.45629883,7485.02477884485
Casa Loma,10968,1922539.6496582,5937.87971494868
Kensington-Chinatown,17945,1534712.31079102,5024.45384895741
Kingsway South,9271,2638301.21972656,8062.51226888164
Runnymede-Bloor West Village,10070,1593977.76611328,6748.11256013931
Forest Hill South,10732,2480022.90966797,7188.5741067007
Henry Farm,15723,2593263.64892578,8150.84370831638
Annex,30526,2790356.17993164,7606.03923027286
Caledonia-Fairbank,9955,1544434.53540039,4951.20830424617
Humber Heights-Westmount,10948,2802679.71313477,9088.07200729736
Roncesvalles,14974,1504527.27368164,6163.82932717552
University,7607,1405236.48828125,4971.78012750341
Hillcrest Village,16934,5395665.57080078,9570.81384331828
Mount Dennis,13593,2129358.65209961,6852.13404178804
Dorset Park,25003,6012087.75244141,10566.898996667
Edenbridge-Humber Valley,15535,5511577.79125977,11180.412213707
Dovercourt-Wallace Emerson-Junction,36625,3725825.35791016,9225.59113225159
Newtonbrook West,23831,4695675.75341797,8634.1948010073
Niagara,31180,3241278.6027832,11006.5377019036
Beechborough-Greenbrook,6577,1833622.83520508,6414.7193092875
High Park North,22162,1882284.17724609,6319.7747714794
High Park-Swansea,23925,5358123.03125,10614.3666604165
Highland Creek,12494,5248057.66357422,9914.92287105672
North St.James Town,18615,424196.762451172,2574.40851468341
Oakridge,13845,1878562.21508789,7808.87790802281
Rosedale-Moore Park,20923,4669066.02856445,9663.31948197785
Oakwood Village,21210,2219473.01538086,6334.9891892606
Wexford/Maryvale,27917,10263854.2668457,14186.6318842575
Eglinton East,22776,3223146.08447266,10012.8669795043
Elms-Old Rexdale,9456,2931145.3269043,9356.68707155631
Agincourt North,29113,7261856.69628906,12381.2649696234
Agincourt South-Malvern West,23757,7873163.26635742,15386.5562955367
Englemount-Lawrence,22372,3478190.15258789,8311.86902775845
Eringate-Centennial-West Deane,18588,8645508.05029297,15361.2459804538
L'Amoreaux,43993,7154890.52246094,12565.6272024982
Banbury-Don Mills,27695,10041548.4909668,18165.1239195877
Bathurst Manor,15873,4760303.53491211,14569.4785655036
Alderwood,12054,4978487.8605957,9168.69872738303
Regent Park,10803,650295.324462891,3258.96762719123
Bendale,29960,7456416.10205078,13174.9837251446
Birchcliffe-Cliffside,22291,6008883.01635742,14693.3301795561
Weston-Pellam Park,11098,1460622.10791016,5535.3854105631
Downsview-Roding-CFB,35052,14992190.744873,21300.317847633
Lambton Baby Point,7985,1781937.59228516,8088.47310658367
Bay Street Corridor,25797,1809355.34838867,6933.18324871132
Black Creek,21737,3453824.90087891,8441.4441309731
Willowdale East,50434,5061015.62792969,9482.38347760235
Willowdale West,16936,2883462.21728516,7476.93962247558
Rouge,46496,37534494.5393066,36133.5598431219
Mount Olive-Silverstone-Jamestown,32954,4637541.78149414,12954.6641185009
Cabbagetown-South St.James Town,11669,1417963.00585938,5759.11285502324
Mount Pleasant East,16775,3088926.68359375,11249.9142305672
Mount Pleasant West,29658,1343312.14355469,5182.4697308658
Blake-Jones,7727,941146.807128906,4042.74340101813
Rexdale-Kipling,10529,2505575.79150391,7067.05850908683
East End-Danforth,21381,2639018.67211914,7372.23709566442
New Toronto,11463,3481238.50732422,11321.7310679999
Palmerston-Little Italy,13826,1435236.83666992,4967.45795015605
Parkwoods-Donalda,34805,7464327.19628906,13452.1947587487
Pelmo Park-Humberlea,10722,4276047.83911133,13837.0354048742
Playter Estates-Danforth,7804,887593.010498047,4501.75224273094
Willowridge-Martingrove-Richview,22156,5517423.89746094,12059.2336182776
Woburn,53485,12334072.6975098,18111.2649924107
Woodbine-Lumsden,7865,1196243.5871582,4871.17401499194
Bayview Village,21396,5159044.47216797,9504.0719910744
Bedford Park-Nortown,23236,5518148.62597656,12816.8790868956
Rockcliffe-Smythe,22246,5070764.875,11619.9536372344
Bridle Path-Sunnybrook-York Mills,9266,8838191.94384766,15651.290604659
Don Valley Village,27051,4212380.5847168,8326.61510989741
Weston,17992,2565537.82641602,10202.3942291964
Lawrence Park South,15179,3242276.77905273,9777.67310447186
Brookhaven-Amesbury,17757,3507374.19091797,8980.44621396643
Long Branch,10084,2261880.03710938,7806.77748904137
Malvern,43794,8866243.60791016,12081.2086433346
Dufferin Grove,11785,1387988.88574219,5148.29481614303
Maple Leaf,10111,2526426.71240234,6377.76112811421
Markland Wood,10554,2953752.2175293,7846.52458569609
Steeles,24623,4561345.49414063,8943.75965677489
Lawrence Park North,14607,2289800.86328125,6540.18314802893
Yonge-Eglinton,11817,1650438.05615234,5686.68479133382
Mimico,33964,7059172.01464844,23377.95577557
Morningside,17455,5740138.37719727,13214.7097693979
Moss Park,20506,1413051.84130859,6204.52634351757
Little Portugal,15559,1216369.29296875,5440.95143410876
Woodbine Corridor,12541,1595684.43432617,5428.0880121982
Newtonbrook East,16097,4084780.91918945,8094.59277227573
Milliken,26572,9477859.22143555,16781.4773433728
Pleasant View,15818,2967493.12646484,7944.8298480591
Wychwood,14349,1682110.91162109,5435.0218791373
Leaside-Bennington,16828,4784766.46704102,14836.6185782959
Briar Hill-Belgravia,14257,1830325.22900391,6289.70727401402
Yonge-St.Clair,12528,1161314.72753906,5873.27058177454
York University Heights,27593,13246655.9638672,18504.7773257886
Lansing-Westgate,16164,5346185.89599609,11112.1096247149
Yorkdale-Glen Park,14804,6038325.9597168,10079.4269201273
Stonegate-Queensway,25051,7946201.73095703,11853.1898780759
Tam O'Shanter-Sullivan,27446,5422344.60717773,10750.4681247611
The Beaches,21567,3595829.05029297,11275.1807429357
Thistletown-Beaumond Heights,10360,3339481.03955078,10828.4444773689
Thorncliffe Park,21108,3126553.81347656,7502.70942967791
Danforth East York,17180,2188597.61035156,7623.85781649933
Humewood-Cedarvale,14365,1871263.39526367,6036.26811584617
Islington-City Centre West,43965,16239688.7004395,20311.9292497967
Danforth,9666,1119664.70727539,6233.17274904289
Rustic,9941,2096348.75512695,5888.97179133215
Scarborough Village,16724,3151015.09423828,7922.76444194323
